"","year","Murder","Brazil","Colombia","France","Iraq","Syria","Government","Military","Political","Male","Local","Freelance","War"
"512",2009,1,0,0,0,0,0,0,1,0,1,1,0,1
"513",2012,1,0,0,0,0,0,0,0,1,1,1,0,1
"514",2012,1,0,0,0,0,0,0,0,1,1,1,0,0
"515",2009,0,0,0,0,0,0,0,0,1,1,1,0,1
"517",2017,0,0,0,0,0,1,0,0,1,1,1,0,1
"518",2006,1,0,0,0,0,0,0,1,0,1,1,1,1
"519",2004,0,0,0,0,1,0,0,0,1,1,1,0,0
"520",2003,0,0,0,0,0,0,0,0,0,1,1,0,0
"521",2002,0,0,1,0,0,0,0,1,0,1,1,0,1
"522",2009,1,0,0,0,0,0,1,0,0,1,1,0,0
"523",2006,1,0,0,0,0,0,1,0,0,1,1,0,0
"524",1999,1,0,1,0,0,0,1,0,0,1,1,1,0
"525",2004,1,0,0,0,0,0,0,0,0,1,1,0,0
"526",2005,1,0,0,0,1,0,0,0,1,0,1,0,1
"527",2015,1,0,0,0,0,0,0,0,1,0,1,0,1
"529",2019,0,0,0,0,1,0,0,1,0,1,1,1,0
"530",1993,1,0,0,0,0,0,0,0,0,1,0,0,1
"531",2012,0,0,0,0,0,1,0,0,0,1,1,1,1
"532",2007,1,0,0,0,0,0,0,0,0,1,1,0,0
"533",2015,0,0,0,0,0,1,0,0,1,1,1,0,1
"534",2004,1,0,0,0,0,0,0,0,1,1,1,0,0
"535",1992,1,0,0,0,0,0,1,0,0,1,1,0,0
"536",2017,0,0,0,0,0,0,0,0,1,1,1,0,0
"537",2012,0,0,0,0,0,0,0,1,0,1,1,0,1
"538",2005,1,0,0,0,1,0,0,0,1,1,1,0,1
"539",2007,1,0,0,0,1,0,0,0,1,1,1,0,1
"540",2006,1,0,0,0,1,0,0,0,1,1,1,0,1
"541",2020,1,0,0,0,0,1,0,0,0,1,1,0,1
"542",2009,1,0,0,0,0,0,1,0,0,1,1,0,0
"543",2015,1,0,0,0,0,0,0,0,1,1,0,0,1
"544",2018,1,0,0,0,0,1,0,0,1,1,1,0,1
"546",2016,0,0,0,0,0,1,0,1,0,1,1,0,1
"547",2006,1,0,0,0,1,0,0,0,1,1,1,0,1
"548",2001,1,0,0,0,0,0,1,0,0,1,1,0,0
"549",1993,0,0,0,0,0,0,0,1,0,1,1,0,0
"550",2000,1,0,0,0,0,0,0,0,0,1,1,0,0
"551",1996,1,0,0,0,0,0,1,0,0,1,1,1,0
"553",2008,1,0,0,0,1,0,0,0,1,1,1,0,0
"554",2012,1,0,0,0,0,1,0,0,1,1,1,0,1
"555",1999,0,0,0,0,0,0,0,0,1,1,0,0,1
"557",2020,1,0,0,0,0,0,0,0,0,1,1,0,0
"558",2002,0,0,0,0,0,0,0,1,0,1,1,1,1
"559",2013,0,0,0,0,0,0,0,0,1,1,1,0,0
"562",2007,0,0,0,0,0,0,0,1,0,0,1,0,1
"563",1997,0,0,0,0,0,0,0,1,0,1,1,1,1
"565",2006,1,0,0,0,1,0,0,0,1,1,1,1,1
"566",2015,1,1,0,0,0,0,0,0,0,1,1,0,0
"567",2020,0,0,0,0,0,0,0,0,0,1,1,0,0
"569",2002,0,0,0,0,0,0,0,1,0,1,1,0,0
"570",2015,1,1,0,0,0,0,1,0,0,1,1,0,0
"573",2008,1,0,0,0,0,0,0,0,1,1,1,0,0
"574",1992,0,0,0,0,0,0,0,1,0,1,0,0,1
"575",1992,0,0,0,0,0,0,0,1,0,1,1,0,1
"576",1997,0,0,0,0,0,0,0,0,1,1,1,0,0
"577",2015,1,0,0,0,0,0,1,0,0,1,1,1,0
"578",1999,1,0,1,0,0,0,0,0,0,1,1,0,0
"579",2003,1,0,1,0,0,0,1,0,0,1,1,0,0
"581",2018,1,1,0,0,0,0,1,0,0,1,1,0,0
"582",2015,1,0,0,0,1,0,0,0,1,1,1,0,1
"583",2013,1,0,0,0,1,0,0,0,1,1,1,0,0
"584",2011,0,0,0,0,0,0,0,1,0,1,1,0,0
"585",2007,1,0,0,0,1,0,0,0,1,1,1,0,0
"586",2015,0,0,0,0,0,1,0,0,1,1,1,1,1
"587",2018,1,0,0,0,0,0,1,0,0,1,1,0,1
"588",2012,1,0,0,0,0,0,0,0,0,1,1,0,0
"589",2006,0,0,0,0,1,0,0,0,1,1,0,0,1
"590",2014,1,0,0,0,0,1,0,0,1,1,0,1,1
"591",2003,0,0,0,0,0,0,0,1,0,1,0,1,1
"592",1999,1,0,0,0,0,0,0,0,1,1,1,0,1
"593",2010,0,0,0,0,0,0,0,0,1,1,0,0,1
"595",2018,1,0,0,0,0,0,1,0,0,1,1,0,0
"596",2009,1,0,0,0,0,0,0,1,0,1,0,1,1
"597",2008,1,0,0,0,0,0,0,0,1,1,1,0,0
"598",2008,1,0,0,0,1,0,0,0,1,1,1,0,1
"599",2008,0,0,0,0,0,0,0,0,0,1,1,0,0
"602",2017,1,0,0,0,0,0,0,0,0,1,1,0,0
"603",2015,1,0,0,1,0,0,0,0,1,1,1,0,0
"604",2003,1,0,0,0,0,0,0,1,0,1,0,0,0
"606",1993,0,0,0,0,0,0,0,0,1,1,0,0,1
"607",2010,1,0,0,0,0,0,1,1,0,1,1,0,0
"608",2007,1,0,0,0,0,0,0,0,0,1,1,1,0
"609",2018,1,1,0,0,0,0,1,0,1,1,1,0,0
"610",1999,1,0,0,0,0,0,0,0,1,1,1,0,1
"611",2009,1,0,0,0,0,0,1,0,0,1,1,0,0
"612",2003,0,0,0,0,1,0,0,0,1,1,0,1,1
"613",2005,1,0,0,0,1,0,0,0,1,1,1,0,1
"614",2016,0,0,0,0,0,0,0,0,1,1,0,1,1
"616",1997,1,0,0,0,0,0,0,1,0,1,1,0,0
"617",2009,1,0,0,0,0,0,1,0,0,1,1,0,0
"618",2016,0,0,0,0,0,1,0,1,0,1,1,1,0
"619",2002,0,0,0,0,0,0,0,1,0,1,1,0,0
"620",1994,1,1,0,0,0,0,1,0,0,1,1,0,0
"621",2016,1,1,0,0,0,0,0,0,0,1,1,0,0
"622",2017,1,0,0,0,0,0,0,0,0,1,1,0,0
"624",2020,1,0,0,0,0,0,0,0,1,1,1,0,0
"625",1995,0,0,0,0,0,0,0,1,0,1,0,0,1
"626",2009,1,0,0,0,0,0,1,0,0,1,1,0,0
"627",2018,1,0,0,0,0,0,1,0,0,1,1,0,0
"628",2001,0,0,0,0,0,0,0,1,0,0,0,0,1
"629",2009,1,0,0,0,0,0,1,0,0,1,1,0,0
"630",2015,1,0,0,0,0,0,0,0,0,1,1,0,0
"631",2018,1,0,0,0,0,0,0,0,0,1,1,0,0
"632",1995,0,0,0,0,0,0,0,1,0,1,0,0,1
"633",2009,0,0,0,0,0,0,0,0,0,1,1,0,0
"634",2009,1,0,0,0,0,0,1,0,0,1,1,0,0
"635",2015,0,0,0,0,0,1,0,1,0,1,1,0,1
"636",1992,0,0,0,0,0,0,0,1,0,1,0,0,1
"637",2006,1,0,0,0,0,0,0,0,0,1,1,0,0
"638",2019,1,0,0,0,0,0,1,0,0,1,1,0,0
"639",2001,1,0,1,0,0,0,0,0,0,1,1,0,0
"640",2002,0,0,0,0,0,0,0,1,0,1,1,0,0
"641",1997,1,0,0,0,0,0,1,0,0,1,1,0,0
"643",2020,1,0,0,0,0,0,1,0,0,1,1,0,0
"644",2001,1,0,0,0,0,0,1,0,0,1,1,0,0
"645",2020,0,0,1,0,0,0,0,1,0,1,1,0,0
"646",2011,1,0,0,0,0,0,0,0,0,1,1,0,0
"647",2008,1,0,0,0,0,0,0,0,0,1,1,0,0
"648",2005,1,1,0,0,0,0,1,0,0,1,1,0,0
"649",2004,1,1,0,0,0,0,0,0,0,1,1,0,0
"650",1998,1,1,0,0,0,0,1,0,0,1,1,0,0
"651",2003,0,0,0,0,1,0,0,1,0,1,0,0,1
"652",2001,1,0,1,0,0,0,0,0,0,1,1,0,0
"653",2003,1,0,1,0,0,0,1,0,0,1,1,0,0
"654",2009,1,0,1,0,0,0,0,0,0,1,1,0,0
"655",1997,1,0,0,0,0,0,0,0,0,1,1,0,0
"656",2000,1,0,0,0,0,0,0,0,1,1,1,0,0
"657",2001,1,0,0,0,0,0,0,0,0,1,1,0,0
"658",1993,1,0,0,0,0,0,1,0,0,1,1,0,1
"659",1993,1,0,0,0,0,0,1,0,0,1,1,0,1
"660",2015,1,0,0,0,0,0,1,0,0,1,1,0,0
"661",2013,1,1,0,0,0,0,0,0,0,1,1,0,0
"662",2010,1,0,0,0,0,0,1,0,0,1,1,0,0
"663",2010,1,0,0,0,0,0,0,0,1,1,1,1,0
"664",2003,1,0,0,0,0,0,0,0,1,1,1,0,0
"665",2000,1,0,1,0,0,0,1,0,0,1,1,0,0
"666",2003,0,0,1,0,0,0,0,0,1,1,1,0,0
"667",2001,0,0,0,0,0,0,0,0,1,1,1,1,0
"668",1995,1,0,0,0,0,0,0,1,0,1,1,0,0
"669",2004,1,0,0,0,0,0,0,0,0,1,1,0,0
"670",2018,1,0,1,0,0,0,0,0,1,1,0,0,0
"671",2003,0,0,0,0,1,0,0,1,0,1,0,0,1
"672",2005,0,0,0,0,0,0,0,1,0,1,1,0,0
"674",2001,1,0,0,0,0,0,0,0,0,1,0,0,1
"676",2020,1,0,0,0,0,0,0,0,0,1,1,0,0
"677",2011,1,0,0,0,0,0,0,0,0,1,1,0,0
"678",2004,1,0,0,0,0,0,0,0,0,1,1,0,0
"679",2006,0,0,0,0,1,0,0,1,0,1,1,1,1
"680",2018,0,0,0,0,0,1,0,1,0,1,1,0,1
"681",2004,1,0,0,0,1,0,0,0,1,1,1,0,1
"682",2017,0,0,0,0,0,1,0,0,1,1,1,0,1
"684",2011,0,0,0,0,0,0,1,0,0,1,1,1,0
"686",2016,1,0,0,0,0,0,0,0,0,1,1,0,0
"687",2001,1,0,0,0,0,0,1,0,0,1,1,1,0
"688",2005,1,0,0,0,0,0,0,0,0,0,0,0,1
"689",2003,0,0,0,0,1,0,0,1,0,1,0,1,1
"691",2012,1,0,0,0,0,0,0,0,1,1,1,0,0
"692",1993,1,0,0,0,0,0,1,0,0,1,1,0,0
"693",1994,0,0,0,0,0,0,0,1,0,1,1,0,1
"694",2015,1,0,0,0,0,1,0,0,1,1,0,1,1
"695",2007,0,0,0,0,0,0,0,1,0,1,0,0,0
"696",2001,0,0,0,0,0,0,0,1,0,1,0,0,1
"697",1995,1,0,0,0,0,0,0,0,1,0,1,0,1
"698",2014,0,0,0,0,1,0,0,0,1,1,1,0,0
"699",2005,1,0,0,0,1,0,0,0,1,1,1,0,1
"700",2017,0,0,0,0,0,1,0,0,1,1,1,1,1
"701",2015,0,0,0,0,0,0,0,0,1,1,1,0,1
"702",2016,0,0,0,0,0,0,0,0,1,1,1,1,1
"704",2007,0,0,0,0,1,0,0,1,0,1,1,0,0
"705",2006,1,0,0,0,1,0,0,0,1,1,1,1,1
"706",2014,0,0,0,0,0,0,0,1,0,1,1,0,1
"707",2014,0,0,0,0,1,0,0,0,1,1,1,0,1
"708",2007,1,0,0,0,1,0,0,0,1,1,0,0,1
"709",2007,1,0,0,0,1,0,0,0,1,0,1,0,0
"710",2008,1,0,0,0,0,0,1,0,0,1,1,0,0
"712",1994,1,0,0,0,0,0,1,0,0,1,1,0,0
"713",2017,0,0,0,0,0,0,0,0,0,0,0,1,0
"714",2018,0,0,0,0,0,0,0,1,1,1,0,1,1
"715",1992,1,0,0,0,0,0,0,0,0,1,1,0,1
"716",2005,1,0,0,0,0,0,1,0,0,1,1,1,0
"717",2004,0,0,0,0,1,0,0,0,1,1,0,1,1
"718",1992,1,0,0,0,0,0,0,1,0,1,1,0,1
"719",2000,0,0,0,0,0,0,0,1,0,1,0,0,1
"720",1996,1,0,0,0,0,0,0,0,0,1,1,0,0
"723",2004,0,0,0,0,0,0,0,0,1,1,1,0,0
"724",1998,1,0,0,0,0,0,1,0,0,0,1,0,0
"725",2016,1,0,0,0,0,0,1,0,0,1,1,0,0
"726",2009,1,0,0,0,0,0,1,0,0,1,1,0,1
"727",2012,0,0,0,0,0,1,0,1,0,1,1,0,1
"728",2006,0,0,0,0,0,0,0,1,0,0,1,1,1
"729",2009,1,0,0,0,0,0,1,0,0,0,1,0,0
"731",2018,1,0,0,0,0,0,1,0,0,1,1,0,0
"732",2019,1,0,0,0,0,0,0,0,0,1,1,0,0
"733",2018,1,0,0,0,0,0,1,0,0,0,1,0,0
"734",2014,0,0,0,0,1,0,0,1,1,0,0,1,1
"736",2012,1,0,0,0,0,0,0,0,1,1,1,0,0
"737",2009,1,0,0,0,0,0,1,0,0,1,1,0,0
"740",2017,0,0,0,0,1,0,0,0,1,1,1,0,1
"741",2020,1,0,0,0,0,0,0,0,0,1,0,0,0
"742",2011,0,0,0,0,0,0,0,1,0,1,0,0,0
"743",2011,1,1,0,0,0,0,0,0,0,1,1,0,0
"744",2020,1,0,0,0,0,0,1,0,0,1,1,1,0
"745",2015,1,0,1,0,0,0,0,0,0,1,1,0,0
"746",2010,1,0,0,0,0,0,0,0,0,1,1,0,0
"747",2003,1,0,1,0,0,0,0,0,0,1,1,0,1
"748",2011,1,0,0,0,0,0,0,0,0,1,1,0,0
"749",2017,1,1,0,0,0,0,0,0,0,1,1,1,0
"750",1998,1,0,0,0,0,0,0,1,0,1,1,0,0
"751",2003,1,1,0,0,0,0,0,0,0,1,1,0,0
"752",2007,1,1,0,0,0,0,1,0,0,1,1,0,0
"753",2014,1,0,0,0,0,0,0,0,1,1,0,1,0
"754",2006,1,0,0,0,1,0,0,0,1,0,1,0,1
"755",2019,0,0,0,0,0,0,0,0,1,0,1,1,1
"756",2015,1,0,0,0,0,0,0,0,0,1,1,0,0
"757",1992,1,0,0,0,0,0,0,0,1,1,1,0,0
"758",1999,1,0,0,0,0,0,0,0,1,1,1,1,1
"759",1994,1,0,0,0,0,0,0,0,1,1,1,0,0
"760",2013,1,1,0,0,0,0,0,0,0,1,1,0,0
"761",2008,1,0,0,0,0,0,1,0,0,1,1,0,1
"762",2005,1,0,0,0,0,0,0,1,0,1,1,0,1
"763",2005,0,0,0,0,1,0,0,1,0,0,1,0,1
"764",2007,1,0,0,0,0,0,0,0,1,1,1,0,1
"765",2016,0,0,0,0,0,0,0,0,0,1,1,0,1
"766",2012,1,0,0,0,0,0,0,0,1,1,1,1,0
"767",2018,1,0,0,0,0,0,0,0,1,0,1,0,1
"768",2005,0,0,0,0,0,0,1,0,0,1,1,0,1
"769",2012,0,0,0,0,0,0,0,1,0,1,1,0,1
"771",2013,0,0,0,0,0,1,0,1,0,1,1,0,1
"772",1998,1,0,0,0,0,0,0,0,1,1,0,0,0
"773",2006,0,0,0,0,1,0,0,1,0,1,1,0,1
"774",2014,0,0,0,0,0,1,0,1,1,1,1,0,1
"775",2007,1,0,0,0,1,0,0,0,1,1,1,0,1
"776",2016,0,0,0,0,0,1,0,1,0,1,1,1,1
"777",2006,1,0,0,0,0,0,1,0,0,1,1,0,0
"778",2020,1,0,0,0,0,0,0,0,1,0,1,0,1
"781",2004,1,0,0,0,0,0,0,0,1,1,1,0,0
"782",1998,1,1,0,0,0,0,1,0,0,1,1,0,0
"783",1992,1,0,0,0,0,0,0,0,0,1,1,0,0
"784",1993,1,0,1,0,0,0,0,0,0,1,1,0,0
"785",2001,0,0,0,0,0,0,0,1,0,1,0,1,1
"786",1994,1,0,0,0,0,0,0,0,0,1,1,0,0
"787",1995,1,0,0,0,0,0,0,0,0,1,0,0,1
"788",1994,0,0,0,0,0,0,0,0,0,1,0,0,1
"789",1995,1,1,0,0,0,0,1,0,0,1,1,0,0
"790",2014,1,1,0,0,0,0,0,0,1,1,1,0,0
"792",1993,1,0,0,0,0,0,0,1,0,0,1,0,0
"793",2017,0,0,1,0,0,0,0,1,0,0,1,0,0
"794",2020,1,0,0,0,0,0,0,0,0,0,1,0,0
"795",2011,1,0,0,0,0,0,0,0,0,0,1,1,0
"796",2001,1,0,0,0,0,0,0,0,0,0,0,0,1
"797",2004,1,0,0,0,0,0,1,0,0,0,1,0,0
"798",1993,0,0,0,0,0,0,0,1,0,0,1,0,0
"799",2006,1,0,0,0,0,0,0,0,1,0,1,1,0
"800",2012,1,0,0,0,0,1,0,1,0,0,0,0,1
"801",2009,1,0,0,0,0,0,1,0,0,0,1,0,0
"802",2018,1,0,0,0,0,0,0,0,0,1,1,0,0
"803",2012,1,1,0,0,0,0,1,0,0,1,1,0,0
"804",2013,1,0,0,0,0,0,0,0,0,1,1,1,0
"805",2009,1,0,0,0,0,0,1,0,0,0,1,0,0
"806",2009,1,0,0,0,0,0,1,0,0,1,1,0,0
"807",2005,1,0,0,0,0,0,1,0,0,0,1,0,0
"808",2006,1,0,0,0,0,0,0,0,0,1,0,1,0
"809",2004,1,0,1,0,0,0,0,0,0,1,1,0,0
"810",2001,1,0,0,0,0,0,0,0,0,1,0,0,1
"811",2008,1,0,0,0,0,0,1,0,0,1,1,0,0
"812",2017,1,0,0,0,0,0,0,0,0,1,1,1,0
"815",2004,0,0,0,0,1,0,0,1,0,1,1,0,1
"816",2003,0,0,0,0,1,0,0,1,0,1,0,0,1
"817",2012,0,0,0,0,0,1,0,1,0,1,1,1,0
"818",2007,0,0,0,0,0,0,0,0,1,1,1,1,0
"819",2016,0,0,0,0,0,0,0,0,1,1,1,0,0
"821",1996,1,0,0,0,0,0,1,0,0,1,1,0,0
"822",2003,0,0,0,0,1,0,0,1,0,1,0,0,1
"823",1997,1,0,0,0,0,0,0,1,0,1,1,1,0
"824",2014,1,0,0,0,0,0,1,0,0,1,1,1,0
"825",2009,0,0,0,0,0,0,0,0,1,0,0,0,1
"826",2013,0,0,0,0,0,0,0,1,1,1,0,0,1
"827",2000,0,0,0,0,0,0,0,1,0,1,0,0,1
"829",2012,0,0,0,0,0,1,0,1,0,0,0,0,1
"830",2013,1,0,0,0,0,0,1,0,0,1,1,0,0
"832",2000,1,0,0,0,0,0,0,0,1,1,1,0,0
"833",2020,1,0,0,0,0,0,0,0,1,1,1,0,0
"835",2017,1,0,0,0,0,0,0,0,0,0,1,0,0
"837",2013,0,0,0,0,0,0,0,0,1,1,1,0,0
"838",2010,1,0,0,0,0,0,0,0,1,1,1,1,1
"839",2017,0,0,0,0,0,1,0,1,0,1,1,0,1
"841",2004,0,0,0,0,0,0,0,1,0,1,1,0,0
"842",2013,0,0,0,0,0,1,0,1,0,1,1,0,1
"844",2012,0,0,0,0,0,1,0,1,0,1,1,1,1
"846",2009,0,0,0,0,0,0,0,0,1,1,1,0,1
"847",2019,0,0,0,0,0,0,0,0,1,1,1,1,1
"848",1996,1,0,0,0,0,0,0,0,1,1,1,0,1
"849",1996,1,0,0,0,0,0,0,0,1,1,1,0,0
"851",2014,1,0,0,0,0,0,0,0,1,1,1,0,0
"857",2012,0,0,0,0,0,1,0,1,0,1,1,0,1
"858",2013,0,0,0,0,0,1,0,1,0,1,1,1,1
"859",2019,0,0,0,0,0,0,0,0,1,1,1,0,0
"861",2015,0,0,0,0,0,0,0,1,0,1,1,0,1
"862",2014,0,0,0,0,0,1,0,1,0,1,1,0,1
"863",2013,0,0,0,0,0,1,0,1,0,1,1,0,1
"864",2006,1,0,0,0,1,0,0,0,1,1,1,0,1
"865",2018,0,0,0,0,0,0,0,0,1,1,1,0,1
"866",2007,1,0,0,0,1,0,0,0,1,1,1,0,1
"867",2009,0,0,0,0,0,0,0,0,1,1,1,0,1
"869",1996,0,0,0,0,0,0,0,1,0,1,1,0,0
"870",2013,1,0,0,0,0,1,0,0,1,1,1,0,1
"871",2018,0,0,0,0,0,0,1,0,1,1,1,0,1
"874",2007,0,0,0,0,0,0,0,0,0,1,1,1,0
"875",2015,0,0,0,0,0,1,0,1,0,1,1,0,1
"877",2011,0,0,0,0,0,0,0,0,0,1,1,1,1
"879",2016,1,0,0,0,0,1,0,0,1,1,1,0,1
"880",2016,0,0,0,0,0,0,0,0,1,1,1,1,1
"883",1994,1,0,0,0,0,0,0,0,0,1,0,0,1
"884",2019,0,0,0,0,0,1,0,1,0,1,1,0,1
"886",1999,1,0,0,0,0,0,0,0,1,1,1,0,0
"888",2008,1,0,0,0,0,0,0,0,0,1,1,0,0
"889",1994,1,0,0,0,0,0,0,0,1,1,1,0,0
"890",2016,0,0,0,0,0,1,0,1,0,1,1,0,1
"891",2006,1,0,0,0,0,0,0,0,1,1,1,0,0
"892",2009,0,0,0,0,0,0,0,0,1,1,1,0,0
"893",2007,1,0,0,0,1,0,0,0,1,1,1,0,0
"894",2008,1,0,0,0,1,0,0,0,1,1,1,0,1
"895",2016,0,0,0,0,0,1,0,0,1,1,0,0,1
"897",2013,0,0,0,0,0,1,0,1,1,1,1,1,1
"899",2001,1,0,0,0,0,0,0,0,0,1,1,1,0
"900",2012,1,0,0,0,0,1,1,0,0,1,1,1,1
"901",2013,0,0,0,0,0,0,1,0,0,1,1,0,0
"902",2014,0,0,0,0,0,1,0,1,0,1,1,1,1
"904",2004,0,0,0,0,1,0,0,0,1,1,1,0,1
"906",2015,1,0,0,1,0,0,0,0,1,1,1,0,0
"907",2011,0,0,0,0,1,0,0,0,1,1,1,0,0
"908",2016,0,0,0,0,0,0,0,0,1,1,1,0,1
"911",2006,1,0,0,0,1,0,0,0,1,1,1,0,1
"912",2001,0,0,0,0,0,0,0,1,0,1,1,0,0
"913",2010,1,0,0,0,0,0,0,0,0,1,1,0,0
"914",2007,0,0,0,0,0,0,0,0,1,1,1,0,0
"916",1997,1,0,0,0,0,0,1,0,0,1,1,0,0
"917",2013,0,0,0,0,0,1,0,1,0,1,1,1,1
"918",2007,1,0,0,0,1,0,0,0,1,1,1,0,0
"920",2012,1,0,0,0,0,0,0,1,1,1,1,1,1
"921",2009,1,0,0,0,0,0,0,0,1,1,1,0,0
"923",2006,0,0,0,0,0,0,0,0,1,1,1,0,0
"924",1999,1,0,0,0,0,0,0,0,1,1,1,1,1
"927",2018,1,0,0,0,0,0,0,0,1,1,1,0,1
"928",1992,1,0,0,0,0,0,1,0,0,1,1,1,0
"929",2009,1,0,0,0,0,0,0,1,0,1,1,0,1
"930",2015,1,0,0,0,0,0,0,0,1,1,1,0,1
"931",2008,1,0,0,0,1,0,0,0,1,1,1,0,0
"934",2015,0,0,0,0,0,0,0,0,1,1,1,1,1
"935",1993,1,0,0,0,0,0,0,0,1,1,1,0,0
"936",2016,1,0,0,0,0,1,0,0,1,1,1,0,1
"937",2007,1,0,0,0,1,0,0,0,1,1,1,0,0
"938",1992,1,0,0,0,0,0,0,0,1,1,1,0,0
"939",2016,0,0,0,0,1,0,0,0,1,1,1,0,1
"940",2018,0,0,0,0,0,1,0,0,1,1,1,0,1
"941",2014,0,0,0,0,1,0,0,0,1,1,1,0,0
"942",2014,1,0,0,0,0,0,0,0,0,1,1,0,0
"943",1999,0,0,0,0,0,0,0,0,1,1,0,0,1
"944",2000,1,0,0,0,0,0,1,0,0,1,1,0,0
"945",2020,1,0,0,0,0,0,0,1,1,1,1,1,1
"946",2006,1,0,0,0,1,0,0,0,1,1,1,0,1
"947",1995,1,0,0,0,0,0,0,0,1,1,1,0,1
"948",1996,1,0,0,0,0,0,0,1,0,0,1,0,1
"949",2004,1,0,0,0,1,0,0,0,1,0,1,0,1
"950",2001,1,0,0,0,0,0,1,0,0,1,1,0,0
"951",2010,1,0,0,0,0,0,0,0,1,1,1,0,0
"953",2016,0,0,0,0,0,0,0,0,1,1,1,0,1
"954",1997,1,0,0,0,0,0,1,0,0,1,1,0,0
"956",2012,0,0,0,0,0,1,0,0,1,1,1,0,1
"957",2015,1,0,0,0,0,0,0,0,1,1,0,0,0
"958",1992,1,0,0,0,0,0,0,0,1,1,1,0,0
"959",2007,0,0,0,0,1,0,0,1,0,1,0,0,1
"961",2006,1,0,0,0,1,0,0,0,1,0,1,0,1
"966",1995,0,0,0,0,0,0,0,1,0,0,0,0,1
"967",2009,1,0,0,0,0,0,1,0,0,0,1,1,0
"969",2010,1,0,0,0,0,0,0,0,0,1,1,0,0
"970",2002,1,0,0,0,0,0,0,0,1,1,1,0,1
"971",2018,1,0,0,0,0,0,1,0,0,1,1,1,0
"973",2007,1,0,0,0,1,0,0,0,1,1,1,1,1
"974",2003,0,0,0,0,0,0,0,1,0,1,1,0,1
"976",2019,1,0,0,0,0,0,1,0,0,1,1,0,0
"977",1998,1,0,1,0,0,0,1,0,0,1,1,0,0
"978",2019,1,0,0,0,0,0,1,0,0,1,1,0,0
"979",2003,1,1,0,0,0,0,1,0,0,1,1,0,0
"981",2015,1,0,0,0,0,0,0,0,1,1,1,1,0
"983",1996,1,0,0,0,0,0,0,0,0,0,1,0,0
"984",2016,0,0,0,0,0,1,1,0,0,1,1,1,1
"986",2011,1,0,0,0,0,0,0,0,0,1,1,1,0
"987",2003,1,0,0,0,0,0,1,0,0,1,1,0,0
"988",2007,0,0,0,0,0,0,0,0,1,1,1,0,1
"989",2011,0,0,0,0,0,0,0,1,0,1,0,0,1
"991",2009,1,0,0,0,0,0,0,0,0,1,1,0,0
"992",2019,1,0,0,0,0,0,0,0,0,0,1,0,0
"994",2006,1,0,0,0,1,0,0,0,1,1,1,0,1
"995",2013,0,0,0,0,0,1,0,1,0,1,1,1,1
"996",2015,0,0,0,0,0,1,0,1,0,1,1,0,1
"997",2009,0,0,0,0,0,0,1,0,0,1,1,0,0
"998",2018,1,0,0,0,0,0,0,0,1,1,1,0,1
"999",1994,1,0,0,0,0,0,1,0,0,1,1,0,0
"1000",2009,0,0,0,0,0,0,0,0,1,1,1,0,1
"1001",2015,0,0,0,0,0,1,0,1,0,1,1,0,1
"1002",1994,1,0,0,0,0,0,0,0,0,1,1,0,0
"1003",2019,0,0,0,0,0,0,0,0,1,1,1,0,1
"1004",2018,0,0,0,0,0,1,0,1,0,1,1,0,1
"1005",2014,1,0,0,0,0,0,1,0,0,1,1,0,0
"1006",2006,1,0,0,0,0,0,1,0,0,0,1,0,0
"1007",1998,1,0,0,0,0,0,0,1,0,1,1,0,0
"1009",1993,1,0,0,0,0,0,0,0,0,1,1,0,0
"1013",2014,0,0,0,0,0,1,0,0,1,1,1,0,1
"1014",2018,0,0,0,0,0,0,0,1,0,1,1,0,1
"1015",1995,1,0,0,0,0,0,0,0,1,1,1,0,1
"1016",2010,0,0,0,0,1,0,0,0,1,1,1,0,0
"1017",2009,0,0,0,0,0,0,1,0,0,1,1,1,0
"1018",2020,0,0,0,0,0,0,1,0,0,1,1,0,0
"1019",2009,1,0,0,0,0,0,1,0,0,1,1,0,0
"1020",2009,0,0,0,0,1,0,0,0,1,1,1,0,0
"1021",2018,0,0,0,0,0,0,0,1,1,1,0,1,1
"1022",2002,1,0,1,0,0,0,1,0,0,1,1,0,0
"1023",2017,0,0,0,0,0,1,1,1,0,1,1,1,1
"1024",2016,0,0,0,0,0,1,0,1,0,1,1,0,1
"1025",2017,0,0,0,0,0,1,0,1,0,1,1,0,1
"1026",1998,1,0,1,0,0,0,0,0,0,1,1,0,0
"1027",2007,1,0,0,0,1,0,0,0,1,1,1,1,1
"1028",1997,0,0,0,0,0,0,0,0,1,1,1,0,0
"1029",1999,0,0,1,0,0,0,0,0,1,1,1,0,1
"1030",2014,1,0,0,0,0,0,1,0,0,1,1,0,0
"1031",2020,1,0,0,0,0,0,0,0,0,1,1,0,0
"1032",1996,1,0,0,0,0,0,0,0,1,1,1,0,0
"1033",2008,1,0,0,0,0,0,0,0,1,1,1,0,1
"1036",2006,0,0,0,0,1,0,0,0,1,1,0,0,1
"1037",1992,0,0,0,0,0,0,0,1,0,1,0,1,1
"1038",2010,1,0,0,0,0,0,0,0,0,1,1,1,0
"1039",2004,1,0,0,0,0,0,0,0,0,1,0,0,0
"1041",2003,0,0,0,0,1,0,0,0,1,1,0,1,1
"1042",2018,1,0,1,0,0,0,0,0,1,1,0,0,0
