"","year","Murder","Brazil","Colombia","France","Iraq","Syria","Government","Military","Political","Male","Local","Freelance","War"
"118",2019,0,0,0,0,0,1,0,1,0,1,1,1,1
"119",2007,1,0,0,0,1,0,0,0,1,1,1,0,1
"121",2004,1,0,0,0,0,0,1,0,0,1,1,0,0
"123",1992,1,0,0,0,0,0,0,0,1,1,1,0,1
"124",2009,1,0,0,0,0,0,1,0,0,1,1,0,0
"125",2008,1,0,0,0,0,0,0,0,0,1,1,0,0
"126",2018,0,0,0,0,0,0,0,1,1,1,0,1,1
"127",1993,0,0,0,0,0,0,0,1,0,1,1,0,0
"128",1993,0,0,0,0,0,0,0,1,0,1,1,0,0
"129",2000,0,0,0,0,0,0,0,1,0,1,1,0,1
"130",2003,1,0,0,0,0,0,0,0,0,1,1,0,0
"131",1994,0,0,0,0,0,0,0,0,0,1,0,0,1
"132",2008,0,0,0,0,0,0,0,1,0,1,1,1,1
"133",1993,0,0,0,0,0,0,0,1,0,0,0,0,0
"134",1994,1,0,0,0,0,0,0,1,0,1,1,0,0
"135",2000,1,0,1,0,0,0,0,0,0,1,1,0,0
"136",2011,1,0,0,0,0,0,0,0,0,1,1,0,0
"137",2010,1,0,0,0,0,0,0,0,0,1,1,0,0
"138",2012,1,0,0,0,0,1,0,0,1,1,1,0,1
"140",2004,0,0,0,0,1,0,0,1,0,1,1,0,1
"141",2012,1,0,0,0,0,0,0,0,1,1,1,1,1
"142",2004,0,0,0,0,1,0,0,1,0,1,0,0,1
"144",2011,0,0,0,0,0,0,0,1,0,1,0,0,1
"145",2005,0,0,0,0,1,0,0,0,1,1,1,0,1
"146",2006,1,0,0,0,1,0,0,0,1,1,1,0,0
"147",2013,0,0,0,0,0,1,0,1,0,1,1,1,1
"148",2016,0,0,0,0,1,0,0,0,1,1,1,0,1
"149",2014,0,0,0,0,0,1,0,1,0,1,0,1,1
"150",2017,0,0,0,0,0,0,0,0,1,1,1,1,0
"151",2016,0,0,0,0,1,0,0,0,1,1,1,0,1
"152",2018,1,0,0,0,0,0,0,0,1,1,1,0,1
"153",2012,0,0,0,0,0,0,0,1,0,1,1,0,1
"154",2007,1,0,0,0,0,0,0,0,1,1,1,0,1
"155",2007,1,0,0,0,0,0,1,0,0,1,1,0,0
"156",2015,0,0,0,0,0,0,0,0,0,0,1,0,0
"157",2005,1,0,0,0,0,0,0,0,1,1,1,1,1
"158",1996,1,0,0,0,0,0,0,0,1,1,1,0,1
"159",2016,0,0,0,0,0,0,0,1,0,1,1,1,1
"160",1994,1,0,0,0,0,0,0,0,0,1,1,0,0
"161",1999,1,0,0,0,0,0,0,0,1,1,1,0,0
"162",1997,1,0,0,0,0,0,0,0,1,1,1,0,0
"163",2011,0,0,0,0,1,0,0,0,1,1,1,0,0
"164",2007,1,0,0,0,0,0,0,0,0,1,1,0,0
"165",2013,0,0,0,0,0,1,0,1,0,1,1,1,1
"166",2007,1,0,0,0,1,0,0,0,1,1,1,0,1
"168",2005,1,0,0,0,0,0,0,0,1,1,1,1,1
"169",2020,0,0,0,0,0,1,0,1,0,1,1,1,1
"170",2006,1,0,0,0,1,0,0,0,1,1,1,0,1
"171",2019,0,0,0,0,0,1,0,1,0,1,1,1,1
"172",2015,0,0,0,0,0,1,0,1,0,1,1,0,1
"173",2012,0,0,0,0,0,1,0,1,0,1,1,0,1
"174",1998,1,0,1,0,0,0,0,0,0,0,1,0,0
"175",2013,0,0,0,0,0,1,0,1,0,1,1,1,1
"176",2009,1,0,0,0,0,0,1,0,0,1,1,0,0
"177",2015,1,0,0,0,0,0,0,0,1,1,1,1,0
"178",2019,0,0,0,0,0,1,0,1,0,1,1,1,1
"179",2012,0,0,0,0,0,1,0,1,0,1,1,1,1
"181",2009,1,0,0,0,0,0,0,0,1,0,1,1,0
"182",2014,0,0,0,0,0,0,0,1,0,1,0,0,1
"183",1998,1,0,0,0,0,0,1,0,0,1,1,0,0
"184",2009,0,0,0,0,0,0,0,1,0,1,1,0,0
"185",1994,1,0,0,0,0,0,0,0,0,1,1,0,0
"186",2014,0,0,0,0,0,0,0,1,0,1,0,1,1
"187",1993,0,0,0,0,0,0,0,1,0,1,0,0,1
"189",2009,1,0,0,0,0,0,1,0,0,1,1,0,0
"190",2018,0,0,0,0,0,0,1,0,0,1,1,0,0
"191",2009,1,0,0,0,0,0,0,0,1,1,1,0,1
"192",2014,0,0,0,0,0,0,1,0,0,0,0,0,1
"193",2006,1,0,0,0,0,0,1,0,0,0,1,0,1
"194",1993,1,0,0,0,0,0,0,0,0,1,0,0,1
"195",2004,0,0,0,0,0,0,0,1,0,1,1,0,0
"196",2011,0,0,0,0,0,0,0,1,0,1,0,1,1
"197",1996,1,0,0,0,0,0,1,0,0,1,1,0,0
"198",2004,1,0,0,0,0,0,1,0,0,1,1,0,0
"199",1999,0,0,0,0,0,0,0,0,1,1,1,0,0
"200",2003,1,0,0,0,0,0,1,0,0,1,1,0,0
"202",2007,0,0,0,0,1,0,0,0,1,1,1,1,1
"203",1995,1,1,0,0,0,0,1,0,0,1,1,0,0
"204",2017,1,0,0,0,1,0,0,0,1,1,1,0,1
"206",2015,1,0,0,0,0,0,0,0,0,1,1,0,0
"207",2004,1,0,0,0,0,0,1,0,0,1,1,0,0
"208",1994,0,0,0,0,0,0,0,0,1,1,1,0,1
"209",2009,1,0,0,0,0,0,1,0,0,1,1,0,0
"210",2004,0,0,0,0,1,0,0,1,0,1,1,0,1
"211",2011,0,0,0,0,0,0,0,0,1,1,1,0,0
"213",2004,0,0,0,0,0,0,0,0,1,0,1,1,0
"214",2013,0,0,0,0,0,0,0,0,1,1,1,0,0
"215",2010,0,0,0,0,0,0,0,1,0,1,1,0,1
"216",2006,1,0,0,0,1,0,0,0,1,1,1,0,1
"218",2008,1,0,0,0,0,0,1,0,0,1,1,0,0
"219",2006,1,0,1,0,0,0,0,0,0,1,1,0,0
"220",2006,1,0,0,0,1,0,0,0,1,0,1,0,1
"221",2014,1,0,0,0,0,0,0,1,0,1,1,1,1
"222",2015,1,0,0,0,0,0,0,0,1,1,0,1,0
"223",2016,0,0,0,0,0,0,0,0,1,1,1,1,1
"224",2018,0,0,0,0,0,0,0,0,1,1,1,0,0
"225",2012,0,0,0,0,0,1,0,0,1,1,1,0,1
"226",2004,0,0,0,0,1,0,0,0,1,1,1,1,0
"227",1993,1,0,0,0,0,0,1,0,0,0,1,0,0
"228",2013,1,0,0,0,0,0,0,0,0,1,1,0,0
"230",2001,1,0,0,0,0,0,0,0,0,1,1,0,1
"233",2004,1,0,0,0,0,0,0,0,1,1,1,0,0
"236",2012,0,0,0,0,0,1,0,0,1,1,1,0,1
"237",2018,0,0,0,0,0,1,0,1,0,1,1,0,1
"239",2007,1,0,0,0,0,0,0,0,1,1,1,0,1
"240",2011,0,0,0,0,0,1,0,1,0,1,1,1,0
"241",2009,0,0,0,0,0,0,0,1,0,1,1,0,1
"242",2012,0,0,0,0,0,1,0,1,0,1,1,1,1
"244",2015,0,0,0,0,0,1,0,0,1,0,1,0,1
"246",1997,1,0,0,0,0,0,0,0,0,1,1,0,0
"247",1998,1,0,1,0,0,0,0,0,1,1,1,0,0
"248",2015,1,0,0,1,0,0,0,0,1,1,1,1,0
"249",2015,1,0,0,1,0,0,0,0,1,1,1,1,0
"250",1993,1,0,0,0,0,0,0,0,1,1,1,1,0
"251",2009,1,0,0,0,0,0,1,0,0,1,1,0,0
"253",2014,0,0,0,0,0,1,1,0,0,1,1,0,1
"254",2015,0,0,0,0,0,0,0,1,0,1,1,0,1
"255",2007,1,0,0,0,0,0,0,0,1,1,1,0,0
"256",2009,1,0,0,0,0,0,0,0,0,1,1,0,0
"257",2003,1,0,0,0,0,0,1,0,0,1,1,0,0
"258",1997,1,0,0,0,0,0,1,0,0,1,1,0,0
"259",2015,1,0,0,0,0,0,0,0,1,1,1,0,1
"260",2006,0,0,0,0,0,0,1,0,0,1,0,1,0
"262",1994,0,0,0,0,0,0,0,1,0,1,1,1,1
"263",1995,1,0,0,0,0,0,0,0,0,1,1,0,0
"264",2001,1,0,0,0,0,0,0,0,1,1,1,0,0
"265",2004,0,0,0,0,1,0,0,1,0,1,1,1,1
"267",1993,1,0,0,0,0,0,0,0,0,1,1,0,0
"268",2014,0,0,0,0,0,0,0,0,0,0,0,1,1
"269",2001,1,0,0,0,0,0,0,0,1,1,1,0,1
"270",2010,0,0,0,0,0,0,0,1,0,1,1,0,0
"271",2000,1,0,0,0,0,0,0,0,0,1,1,0,0
"272",2018,1,0,0,0,0,0,1,0,0,1,1,1,0
"273",1993,1,0,0,0,0,0,0,0,0,1,1,0,0
"274",2004,1,0,0,0,0,0,0,0,0,1,1,0,0
"275",1993,1,0,1,0,0,0,1,0,0,1,1,0,0
"276",2008,1,0,0,0,0,0,0,0,0,1,1,0,0
"277",2007,1,0,0,0,0,0,0,0,0,1,1,0,0
"278",2008,0,0,0,0,0,0,0,0,1,1,0,0,1
"280",1992,1,0,0,0,0,0,0,0,0,1,1,0,0
"282",2008,0,0,0,0,0,0,0,0,1,1,1,0,1
"283",1994,1,0,0,0,0,0,0,1,0,1,1,0,0
"284",2018,1,0,0,0,0,0,0,0,0,1,1,0,0
"285",1994,1,0,0,0,0,0,0,0,0,1,1,0,0
"286",1994,1,0,0,0,0,0,0,0,0,1,1,0,0
"287",2007,1,0,0,0,0,0,0,0,0,1,1,0,0
"288",1997,0,0,0,0,0,0,0,0,1,1,1,0,0
"289",2009,0,0,0,0,0,0,1,1,0,1,1,0,0
"290",1992,0,0,0,0,0,0,0,0,1,1,1,0,1
"291",2008,1,0,0,0,0,0,0,0,1,1,1,0,1
"292",2003,1,0,0,0,0,0,1,0,0,1,1,0,0
"293",2011,0,0,0,0,0,0,0,1,0,1,0,0,1
"294",2009,1,0,0,0,0,0,0,0,0,1,0,1,0
"295",2003,0,0,0,0,1,0,0,1,0,1,0,0,1
"297",2020,0,0,0,0,0,0,0,0,0,1,1,0,0
"298",2017,0,0,0,0,0,0,0,1,0,1,0,1,1
"299",2012,1,0,0,0,0,0,0,0,0,1,1,0,0
"300",2017,1,0,0,0,0,0,1,0,0,1,1,0,0
"301",2009,1,0,0,0,0,0,0,0,0,1,1,0,0
